,x,y,x1,y1,Relative Scale,increment list
0,600,400,600,400,1.0,0.0016666666666666668
1,600,400,600,400,1.0,0.0016666666666666668
2,600,400,600,400,0.22345841616778372,0.0012333333333333335
3,600,400,600,400,0.24390243902439046,0.0012333333333333335
4,600,400,600,400,0.24390243902439046,0.0021
5,600,400,600,400,0.24390243902439046,0.0038
6,600,400,600,400,0.24390243902439046,0.0038
7,600,400,600,402,0.11299435028248528,0.002033333333333333
8,600,400,600,404,0.05471956224350194,0.002033333333333333
9,600,400,600,405,0.0,0.0011
10,600,400,600,405,0.0,0.0039
11,600,400,600,405,0.12099213551119181,0.0039
12,600,400,600,405,0.12099213551119181,0.007366666666666666
13,600,400,600,405,0.12099213551119181,0.007366666666666666
14,600,400,600,406,0.12099213551119181,0.0074
15,600,401,600,407,0.057372346528973495,0.0074
16,600,401,600,407,0.057372346528973495,0.008133333333333333
17,600,401,600,408,0.057372346528973495,0.009133333333333332
18,600,402,600,409,0.0,0.009133333333333332
19,600,402,600,410,0.0,0.008366666666666666
20,600,402,600,411,0.0,0.008366666666666666
21,600,403,600,412,0.0,0.009899999999999999
22,600,403,600,412,0.10928961748633892,0.011633333333333332
23,600,404,600,414,0.11689070718877836,0.011633333333333332
24,600,405,600,417,0.11689070718877836,0.0133
25,600,405,600,419,0.11689070718877836,0.0133
26,600,406,600,421,0.20202020202020243,0.013833333333333333
27,600,406,600,422,0.21141649048625766,0.014
28,600,407,600,423,0.21141649048625766,0.014
29,600,408,600,425,0.3952569169960487,0.013033333333333334
30,600,408,600,427,0.4134366925064601,0.013033333333333334
31,600,409,600,430,0.24630541871921263,0.0149
32,600,410,600,434,0.3952569169960487,0.0149
33,600,411,600,435,0.3952569169960487,0.017266666666666666
34,600,411,600,437,0.378250591016549,0.020233333333333332
35,600,412,600,439,0.5323868677905939,0.020233333333333332
36,600,413,601,440,0.695652173913043,0.022233333333333334
37,600,414,601,441,0.5106382978723403,0.022233333333333334
38,600,414,601,443,0.49019607843137347,0.022233333333333334
39,600,415,601,445,0.3473729917498911,0.025666666666666667
40,600,416,601,447,0.3076923076923075,0.025666666666666667
41,601,417,601,449,0.3333333333333339,0.030000000000000002
42,601,418,601,450,0.17825311942958955,0.030000000000000002
43,601,419,601,451,0.29596744358120564,0.0342
44,601,419,601,453,0.17304780445598134,0.035866666666666665
45,601,420,602,453,0.2849002849002851,0.035866666666666665
46,601,421,602,453,0.2849002849002851,0.038900000000000004
