,x,y
532,241,353
533,241,354
534,241,355
535,241,356
536,241,357
537,241,358
538,240,359
539,240,360
540,240,361
541,240,362
542,240,363
543,240,364
544,240,365
545,240,366
546,240,367
547,240,368
548,240,369
549,240,370
550,239,371
551,239,372
552,239,373
553,239,373
554,239,374
555,239,375
556,239,376
557,239,377
558,239,378
559,239,379
560,239,380
561,239,381
562,239,382
563,238,383
564,238,384
565,238,385
566,238,386
567,238,387
568,238,388
569,238,389
570,238,390
571,238,391
572,238,392
573,237,393
574,237,394
575,237,395
576,237,396
577,237,397
578,238,398
579,237,399
580,237,400
581,237,400
582,237,401
583,237,402
584,237,403
585,237,404
586,237,405
587,237,406
588,237,407
589,237,408
590,237,409
591,236,409
592,236,410
593,236,411
594,236,412
595,236,413
596,236,414
597,236,415
598,236,416
599,236,417
600,236,418
601,236,419
602,235,420
603,235,421
604,235,422
605,235,423
606,234,424
607,234,425
608,234,426
609,233,427
610,233,428
611,232,428
612,232,429
613,231,430
614,230,431
615,230,431
616,229,432
617,228,432
618,227,433
619,227,434
620,226,434
621,225,435
622,224,435
623,223,435
624,222,436
625,221,436
626,220,436
627,219,436
628,218,437
629,217,437
630,216,437
631,215,437
632,214,437
633,214,437
634,213,437
635,212,437
636,211,437
637,210,437
638,209,437
639,208,437
640,207,437
641,206,437
642,205,437
643,204,437
644,203,437
645,202,437
646,201,437
647,200,437
648,199,437
649,198,437
650,197,437
651,196,437
652,195,437
653,194,437
654,193,437
655,192,437
656,191,437
657,190,437
658,189,437
659,188,437
660,187,437
661,186,437
662,185,437
663,184,437
664,183,437
665,182,437
666,181,437
667,181,437
668,180,437
669,179,437
670,178,437
671,177,437
672,176,437
673,175,437
674,174,437
675,173,437
676,172,437
677,171,436
678,170,437
679,169,437
680,168,436
681,167,436
682,166,436
683,165,436
684,164,436
685,163,435
686,162,435
687,161,435
688,161,434
689,160,434
690,159,434
691,158,433
692,157,433
693,156,432
694,156,431
695,155,431
696,154,430
697,154,429
698,153,429
699,152,428
700,152,427
701,151,427
702,150,426
703,150,425
704,150,424
705,149,423
706,149,422
707,148,421
708,148,421
709,148,420
710,148,419
711,148,418
712,148,417
713,147,416
714,147,415
715,147,414
716,147,413
717,147,412
718,147,411
719,147,410
720,147,409
721,147,408
722,147,407
723,147,407
724,147,406
725,147,405
726,147,404
727,147,403
728,147,402
729,147,401
730,147,400
731,147,400
732,147,399
733,147,398
734,147,397
735,147,396
736,147,395
737,147,395
738,147,394
739,147,393
740,147,393
741,147,392
742,147,391
743,147,390
744,147,389
745,147,388
746,147,387
747,147,386
748,147,385
749,147,384
750,147,383
751,147,382
752,147,381
753,147,380
754,147,379
755,147,378
756,147,378
757,147,377
758,147,376
759,147,375
760,147,374
761,147,373
762,147,373
763,147,372
764,147,371
765,147,371
766,147,370
767,147,369
768,147,368
769,146,367
770,146,367
771,146,366
772,146,365
773,146,365
774,146,364
775,146,363
776,146,362
777,146,361
778,146,360
779,146,359
780,146,358
781,146,358
782,145,357
783,145,357
784,145,356
785,146,356
786,146,355
787,146,354
788,146,353
789,146,352
790,146,352
791,146,352
792,146,352
793,146,352
794,146,352
795,146,352
796,146,352
797,146,352
798,146,351
799,146,351
800,146,351
801,146,351
802,146,351
803,146,351
804,146,351
805,146,351
806,146,351
807,146,351
808,146,351
809,146,351
810,146,351
811,146,351
812,146,351
813,146,350
814,146,349
815,146,348
816,146,347
817,146,346
818,145,345
819,145,345
820,145,344
821,144,343
822,144,342
823,143,341
824,143,341
825,143,340
826,142,340
827,141,339
828,141,338
829,140,338
830,139,337
831,138,337
832,137,336
833,137,336
834,136,335
835,135,335
836,134,334
837,133,334
838,132,333
839,131,333
840,130,333
841,129,332
842,128,332
843,128,332
844,128,332
845,127,332
846,126,332
847,125,332
848,124,331
849,123,331
850,122,331
851,121,331
852,120,331
853,119,331
854,118,331
855,117,331
856,116,331
